mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,power_to_weight,sqrt_displacement,inv_weight,horsepower_sq,origin_europe,origin_japan,origin_usa
18.0,8,307.0,130.0,3504,12.0,70,0.037100456621004564,17.52141546793523,0.00028538812785388126,16900.0,False,False,True
15.0,8,350.0,165.0,3693,11.5,70,0.04467912266450041,18.708286933869708,0.00027078256160303275,27225.0,False,False,True
18.0,8,318.0,150.0,3436,11.0,70,0.043655413271245634,17.832554500127006,0.0002910360884749709,22500.0,False,False,True
16.0,8,304.0,150.0,3433,12.0,70,0.043693562481794346,17.435595774162696,0.00029129041654529564,22500.0,False,False,True
17.0,8,302.0,140.0,3449,10.5,70,0.04059147579008408,17.378147196982766,0.00028993911278631486,19600.0,False,False,True
15.0,8,429.0,198.0,4341,10.0,70,0.04561161022805805,20.71231517720798,0.000230361667818475,39204.0,False,False,True
14.0,8,454.0,220.0,4354,9.0,70,0.050528249885163065,21.307275752662516,0.00022967386311437759,48400.0,False,False,True
14.0,8,440.0,215.0,4312,8.5,70,0.049860853432282005,20.97617696340303,0.00023191094619666049,46225.0,False,False,True
14.0,8,455.0,225.0,4425,10.0,70,0.05084745762711865,21.330729007701542,0.00022598870056497175,50625.0,False,False,True
15.0,8,390.0,190.0,3850,8.5,70,0.04935064935064935,19.748417658131498,0.00025974025974025974,36100.0,False,False,True
15.0,8,383.0,170.0,3563,10.0,70,0.04771260174010665,19.570385790780925,0.000280662363177098,28900.0,False,False,True
14.0,8,340.0,160.0,3609,8.0,70,0.04433361041839845,18.439088914585774,0.0002770850651149903,25600.0,False,False,True
15.0,8,400.0,150.0,3761,9.5,70,0.03988300983780909,20.0,0.00026588673225206064,22500.0,False,False,True
14.0,8,455.0,225.0,3086,10.0,70,0.0729099157485418,21.330729007701542,0.0003240440699935191,50625.0,False,False,True
24.0,4,113.0,95.0,2372,15.0,70,0.04005059021922428,10.63014581273465,0.00042158516020236085,9025.0,False,True,False
22.0,6,198.0,95.0,2833,15.5,70,0.03353335686551359,14.071247279470288,0.00035298270384751147,9025.0,False,False,True
18.0,6,199.0,97.0,2774,15.5,70,0.034967555875991346,14.106735979665885,0.0003604902667627974,9409.0,False,False,True
21.0,6,200.0,85.0,2587,16.0,70,0.032856590645535366,14.142135623730951,0.00038654812524159255,7225.0,False,False,True
27.0,4,97.0,88.0,2130,14.5,70,0.04131455399061033,9.848857801796104,0.00046948356807511736,7744.0,False,True,False
26.0,4,97.0,46.0,1835,20.5,70,0.025068119891008173,9.848857801796104,0.0005449591280653951,2116.0,True,False,False
25.0,4,110.0,87.0,2672,17.5,70,0.03255988023952096,10.488088481701515,0.00037425149700598805,7569.0,True,False,False
24.0,4,107.0,90.0,2430,14.5,70,0.037037037037037035,10.344080432788601,0.00041152263374485596,8100.0,True,False,False
25.0,4,104.0,95.0,2375,17.5,70,0.04,10.198039027185569,0.0004210526315789474,9025.0,True,False,False
26.0,4,121.0,113.0,2234,12.5,70,0.050581915846016116,11.0,0.0004476275738585497,12769.0,True,False,False
21.0,6,199.0,90.0,2648,15.0,70,0.033987915407854986,14.106735979665885,0.00037764350453172205,8100.0,False,False,True
10.0,8,360.0,215.0,4615,14.0,70,0.04658721560130011,18.973665961010276,0.00021668472372697725,46225.0,False,False,True
10.0,8,307.0,200.0,4376,15.0,70,0.04570383912248629,17.52141546793523,0.00022851919561243144,40000.0,False,False,True
11.0,8,318.0,210.0,4382,13.5,70,0.04792332268370607,17.832554500127006,0.00022820629849383843,44100.0,False,False,True
9.0,8,304.0,193.0,4732,18.5,70,0.04078613693998309,17.435595774162696,0.00021132713440405747,37249.0,False,False,True
27.0,4,97.0,88.0,2130,14.5,71,0.04131455399061033,9.848857801796104,0.00046948356807511736,7744.0,False,True,False
28.0,4,140.0,90.0,2264,15.5,71,0.03975265017667844,11.832159566199232,0.00044169611307420494,8100.0,False,False,True
25.0,4,113.0,95.0,2228,14.0,71,0.042639138240574505,10.63014581273465,0.0004488330341113106,9025.0,False,True,False
25.0,4,98.0,93.5,2046,19.0,71,0.0456989247311828,9.899494936611665,0.0004887585532746823,8742.25,False,False,True
19.0,6,232.0,100.0,2634,13.0,71,0.037965072133637055,15.231546211727817,0.00037965072133637056,10000.0,False,False,True
16.0,6,225.0,105.0,3439,15.5,71,0.030532131433556268,15.0,0.0002907822041291073,11025.0,False,False,True
17.0,6,250.0,100.0,3329,15.5,71,0.030039050765995796,15.811388300841896,0.00030039050765995795,10000.0,False,False,True
19.0,6,250.0,88.0,3302,15.5,71,0.026650514839491216,15.811388300841896,0.0003028467595396729,7744.0,False,False,True
18.0,6,232.0,100.0,3288,15.5,71,0.030413625304136254,15.231546211727817,0.00030413625304136254,10000.0,False,False,True
14.0,8,350.0,165.0,4209,12.0,71,0.039201710620099785,18.708286933869708,0.00023758612497030174,27225.0,False,False,True
14.0,8,400.0,175.0,4464,11.5,71,0.03920250896057348,20.0,0.00022401433691756272,30625.0,False,False,True
14.0,8,351.0,153.0,4154,13.5,71,0.03683196918632643,18.734993995195193,0.00024073182474723158,23409.0,False,False,True
14.0,8,318.0,150.0,4096,13.0,71,0.03662109375,17.832554500127006,0.000244140625,22500.0,False,False,True
12.0,8,383.0,180.0,4955,11.5,71,0.03632694248234107,19.570385790780925,0.00020181634712411706,32400.0,False,False,True
13.0,8,400.0,170.0,4746,12.0,71,0.03581963758954909,20.0,0.00021070375052675939,28900.0,False,False,True
13.0,8,400.0,175.0,5140,12.0,71,0.03404669260700389,20.0,0.0001945525291828794,30625.0,False,False,True
18.0,6,258.0,110.0,2962,13.5,71,0.03713706954760297,16.06237840420901,0.00033760972316002703,12100.0,False,False,True
22.0,4,140.0,72.0,2408,19.0,71,0.029900332225913623,11.832159566199232,0.0004152823920265781,5184.0,False,False,True
19.0,6,250.0,100.0,3282,15.0,71,0.030469226081657527,15.811388300841896,0.0003046922608165753,10000.0,False,False,True
18.0,6,250.0,88.0,3139,14.5,71,0.028034405861739407,15.811388300841896,0.00031857279388340236,7744.0,False,False,True
23.0,4,122.0,86.0,2220,14.0,71,0.03873873873873874,11.045361017187261,0.00045045045045045046,7396.0,False,False,True
28.0,4,116.0,90.0,2123,14.0,71,0.04239284032030146,10.770329614269007,0.0004710315591144607,8100.0,True,False,False
30.0,4,79.0,70.0,2074,19.5,71,0.033751205400192864,8.888194417315589,0.00048216007714561236,4900.0,True,False,False
30.0,4,88.0,76.0,2065,14.5,71,0.036803874092009685,9.38083151964686,0.00048426150121065375,5776.0,True,False,False
31.0,4,71.0,65.0,1773,19.0,71,0.03666102650874224,8.426149773176359,0.0005640157924421884,4225.0,False,True,False
35.0,4,72.0,69.0,1613,18.0,71,0.04277743335399876,8.48528137423857,0.0006199628022318661,4761.0,False,True,False
27.0,4,97.0,60.0,1834,19.0,71,0.03271537622682661,9.848857801796104,0.0005452562704471102,3600.0,True,False,False
26.0,4,91.0,70.0,1955,20.5,71,0.03580562659846547,9.539392014169456,0.0005115089514066496,4900.0,False,False,True
24.0,4,113.0,95.0,2278,15.5,72,0.04170324846356453,10.63014581273465,0.0004389815627743635,9025.0,False,True,False
25.0,4,97.5,80.0,2126,17.0,72,0.03762935089369708,9.874208829065749,0.00047036688617121356,6400.0,False,False,True
23.0,4,97.0,54.0,2254,23.5,72,0.023957409050576754,9.848857801796104,0.00044365572315882877,2916.0,True,False,False
20.0,4,140.0,90.0,2408,19.5,72,0.03737541528239203,11.832159566199232,0.0004152823920265781,8100.0,False,False,True
21.0,4,122.0,86.0,2226,16.5,72,0.03863432165318958,11.045361017187261,0.0004492362982929021,7396.0,False,False,True
13.0,8,350.0,165.0,4274,12.0,72,0.0386055217594759,18.708286933869708,0.0002339728591483388,27225.0,False,False,True
14.0,8,400.0,175.0,4385,12.0,72,0.039908779931584946,20.0,0.00022805017103762827,30625.0,False,False,True
15.0,8,318.0,150.0,4135,13.5,72,0.036275695284159616,17.832554500127006,0.0002418379685610641,22500.0,False,False,True
14.0,8,351.0,153.0,4129,13.0,72,0.03705497699200775,18.734993995195193,0.0002421893921046258,23409.0,False,False,True
17.0,8,304.0,150.0,3672,11.5,72,0.04084967320261438,17.435595774162696,0.0002723311546840959,22500.0,False,False,True
11.0,8,429.0,208.0,4633,11.0,72,0.044895316209799266,20.71231517720798,0.0002158428663932657,43264.0,False,False,True
13.0,8,350.0,155.0,4502,13.5,72,0.03442914260328743,18.708286933869708,0.0002221235006663705,24025.0,False,False,True
12.0,8,350.0,160.0,4456,13.5,72,0.03590664272890485,18.708286933869708,0.0002244165170556553,25600.0,False,False,True
13.0,8,400.0,190.0,4422,12.5,72,0.04296698326549073,20.0,0.0002261420171867933,36100.0,False,False,True
19.0,3,70.0,97.0,2330,13.5,72,0.041630901287553645,8.366600265340756,0.00042918454935622315,9409.0,False,True,False
15.0,8,304.0,150.0,3892,12.5,72,0.03854059609455293,17.435595774162696,0.00025693730729701953,22500.0,False,False,True
13.0,8,307.0,130.0,4098,14.0,72,0.0317227916056613,17.52141546793523,0.0002440214738897023,16900.0,False,False,True
13.0,8,302.0,140.0,4294,16.0,72,0.032603632976245925,17.378147196982766,0.0002328830926874709,19600.0,False,False,True
14.0,8,318.0,150.0,4077,14.0,72,0.03679175864606328,17.832554500127006,0.0002452783909737552,22500.0,False,False,True
